ten_truyen_tieng_viet,nguon_tieng_viet,chap_da_dich,last_updated_tieng_viet,so_luong_doc,ten_truyen_original,nguon_original,chap_original,last_update_original,tag
Phổ La Chi Chủ,https://mollymax.co.uk/truyen-tranh/pho-la-chi-chu,Chương 30,09/04/2026,4.127,N/A,N/A,N/A,N/A,update
Ngàn Vàng Không Đổi,https://mollymax.co.uk/truyen-tranh/ngan-vang-khong-doi,Chương 131,09/04/2026,3.082,N/A,N/A,N/A,N/A,update
Sát Nhân Cuồng Loạn,https://mollymax.co.uk/truyen-tranh/sat-nhan-cuong-loan,Chương 185,09/04/2026,489.169,N/A,N/A,N/A,N/A,update
Triệu Hồi Sư Cuối Cùng,https://mollymax.co.uk/truyen-tranh/trieu-hoi-su-cuoi-cung,Chương 243,09/04/2026,107.358,N/A,N/A,N/A,N/A,update
Hệ Thống Siêu Cấp Trà Xanh,https://mollymax.co.uk/truyen-tranh/he-thong-sieu-cap-tra-xanh,Chương 130,09/04/2026,30.881,N/A,N/A,N/A,N/A,update
Siêu Cấp Skeleton,https://mollymax.co.uk/truyen-tranh/sieu-cap-skeleton,Chương 77,09/04/2026,3.861,N/A,N/A,N/A,N/A,update
"Sekai Saikyou No Majo, Hajimemashita - Watashidake",https://mollymax.co.uk/truyen-tranh/sekai-saikyou-no-majo-hajimemashita-watashidake,Chương 19,09/04/2026,326,N/A,N/A,N/A,N/A,update
Tôi Trở Thành Đối Tượng Thu Thập Của Hậu Cung Dị Giới,https://mollymax.co.uk/truyen-tranh/toi-tro-thanh-doi-tuong-thu-thap-cua-hau-cung-di-gioi,Chương 129,09/04/2026,224.800,N/A,N/A,N/A,N/A,update
Địa Ngục Này Ta Mở Ra Đấy,https://mollymax.co.uk/truyen-tranh/dia-nguc-nay-ta-mo-ra-day,Chương 538,09/04/2026,824.626,N/A,N/A,N/A,N/A,update
Youchien Wars,https://mollymax.co.uk/truyen-tranh/youchien-wars,Chương 100.5,09/04/2026,753.260,N/A,N/A,N/A,N/A,update
Đừng Làm Mùa Xuân Tuổi 15 Phát Khóc,https://mollymax.co.uk/truyen-tranh/dung-lam-mua-xuan-tuoi-15-phat-khoc,Oneshot,09/04/2026,315,N/A,N/A,N/A,N/A,update
Sinh Đôi Xuyên Không,https://mollymax.co.uk/truyen-tranh/sinh-doi-xuyen-khong,Chương 147,09/04/2026,3.290.658,N/A,N/A,N/A,N/A,update
Quay Đầu Là Bờ,https://mollymax.co.uk/truyen-tranh/quay-dau-la-bo,Chương 19,09/04/2026,1.627,N/A,N/A,N/A,N/A,update
Game Đạo Của Liên Minh Xưng Tớ [Iruma Giá Đáo! Spin-Off],https://mollymax.co.uk/truyen-tranh/game-dao-cua-lien-minh-xung-to-iruma-gia-dao-spin-off-,Chương 1,09/04/2026,455,N/A,N/A,N/A,N/A,update
Mình Tao Là Siêu Việt Giả Mạnh Nhất!,https://mollymax.co.uk/truyen-tranh/minh-tao-la-sieu-viet-gia-manh-nhat-,Chương 94,09/04/2026,381.704,N/A,N/A,N/A,N/A,update
Rozen Maiden,https://mollymax.co.uk/truyen-tranh/rozen-maiden,Chương 18,09/04/2026,2.194,N/A,N/A,N/A,N/A,update
Dục Long: Lân Nghịch Cửu Tiêu,https://mollymax.co.uk/truyen-tranh/duc-long-lan-nghich-cuu-tieu,Chương 18,08/04/2026,738,N/A,N/A,N/A,N/A,update
Linh Cảnh Hành Giả,https://mollymax.co.uk/truyen-tranh/linh-canh-hanh-gia,Chương 55,08/04/2026,47.417,N/A,N/A,N/A,N/A,update
Seihantai Na Kimi To Boku,https://mollymax.co.uk/truyen-tranh/seihantai-na-kimi-to-boku,Chương 3,09/04/2026,0,N/A,N/A,N/A,N/A,update
Ngày 9 Tháng 8 Tôi Sẽ Bị Ăn Thịt Bởi Em,https://mollymax.co.uk/truyen-tranh/ngay-9-thang-8-toi-se-bi-an-thit-boi-em,Chương 11,08/04/2026,2.604,N/A,N/A,N/A,N/A,update
Vạn Giới Chi Lâm,https://mollymax.co.uk/truyen-tranh/van-gioi-chi-lam,Chương 42,08/04/2026,1.323,N/A,N/A,N/A,N/A,update
Kenka Banzuke Saijaku No Ore Ga E O Kaku Dake De Kenka Saikyo Rankingu O Kakeagaru,https://mollymax.co.uk/truyen-tranh/kenka-banzuke-saijaku-no-ore-ga-e-o-kaku-dake-de-kenka-saikyo-rankingu-o-kakeagaru,Chương 23,09/04/2026,2.169,N/A,N/A,N/A,N/A,update
Chuyện Tình Thanh Xuân Bi Hài Của Tôi Quả Nhiên Là Sai Lầm @Comic,https://mollymax.co.uk/truyen-tranh/chuyen-tinh-thanh-xuan-bi-hai-cua-toi-qua-nhien-la-sai-lam-comic,Chương 101.5,08/04/2026,3.849,N/A,N/A,N/A,N/A,update
Thống Trị Hầm Ngục Chỉ Với 1 Hp,https://mollymax.co.uk/truyen-tranh/thong-tri-ham-nguc-chi-voi-1-hp,Chương 25,09/04/2026,6.855,N/A,N/A,N/A,N/A,update
Bày Tỏ Với Người Nguy Hiểm Như Anh Ấy,https://mollymax.co.uk/truyen-tranh/bay-to-voi-nguoi-nguy-hiem-nhu-anh-ay,Chương 11,08/04/2026,826,N/A,N/A,N/A,N/A,update
Ngục Thú,https://mollymax.co.uk/truyen-tranh/nguc-thu,Chương 34,09/04/2026,4.708,N/A,N/A,N/A,N/A,update
Soái Ca Kiểu Mẫu,https://mollymax.co.uk/truyen-tranh/soai-ca-kieu-mau,Chương 25,08/04/2026,632,N/A,N/A,N/A,N/A,update
Bổn Thánh Nữ Ngã Bài Rồi,https://mollymax.co.uk/truyen-tranh/bon-thanh-nu-nga-bai-roi,Chương 464,09/04/2026,351.238,N/A,N/A,N/A,N/A,update
Cửa Hàng Vô Danh,https://mollymax.co.uk/truyen-tranh/cua-hang-vo-danh,Chương 259,09/04/2026,672.719,N/A,N/A,N/A,N/A,update
Vạn Cổ Kiếm Thần,https://mollymax.co.uk/truyen-tranh/van-co-kiem-than,Chương 238,09/04/2026,3.552.359,N/A,N/A,N/A,N/A,update
Horimiya,https://mollymax.co.uk/truyen-tranh/horimiya,Chương 54 - Không Có 54,26/12/2016,9.055.562,N/A,N/A,N/A,N/A,update
Cuộc Đời Của Thiên Tài Piano,https://mollymax.co.uk/truyen-tranh/cuoc-doi-cua-thien-tai-piano,Chương 61,09/04/2026,27.998,N/A,N/A,N/A,N/A,update
Kiwi Medio Yuki Sama,https://mollymax.co.uk/truyen-tranh/kiwi-medio-yuki-sama,Chương 61,09/04/2026,39.076,N/A,N/A,N/A,N/A,update
Mạnh Nhất Lịch Sử,https://mollymax.co.uk/truyen-tranh/manh-nhat-lich-su,Chương 329,09/04/2026,3.892.947,N/A,N/A,N/A,N/A,update
Chiến Binh Máu Lạnh,https://mollymax.co.uk/truyen-tranh/chien-binh-mau-lanh,Chương 51,09/04/2026,20.624,N/A,N/A,N/A,N/A,update
Con Slime Yếu Nhất Ta Từng Cứu Giờ Đã Trở Thành Huyền Thoại!,https://mollymax.co.uk/truyen-tranh/con-slime-yeu-nhat-ta-tung-cuu-gio-da-tro-thanh-huyen-thoai,Chương 38,09/04/2026,1.450,N/A,N/A,N/A,N/A,update
Võ Đại Lang Mạnh Nhất Tái Sinh Ở Thế Giới Thủy Hử,https://mollymax.co.uk/truyen-tranh/vo-dai-lang-manh-nhat-tai-sinh-o-the-gioi-thuy-hu,Chương 46,09/04/2026,21.671,N/A,N/A,N/A,N/A,update
Làm Khoa Học Trong Thế Giới Phép Thuật Thì Như Thế Nào?,https://mollymax.co.uk/truyen-tranh/lam-khoa-hoc-trong-the-gioi-phep-thuat-thi-nhu-the-nao,Chương 48,09/04/2026,45.270,N/A,N/A,N/A,N/A,update
Huyết Tộc Trong Kỷ Nguyên Siêu Năng,https://mollymax.co.uk/truyen-tranh/huyet-toc-trong-ky-nguyen-sieu-nang,Chương 43,09/04/2026,53.833,N/A,N/A,N/A,N/A,update
Aishiteru Game Wo Owarasetai,https://mollymax.co.uk/truyen-tranh/aishiteru-game-wo-owarasetai,Chương 66,09/04/2026,768.321,N/A,N/A,N/A,N/A,update
Henjo ~Hen Na Joshi Kousei Amaguri Senko~,https://mollymax.co.uk/truyen-tranh/henjo-hen-na-joshi-kousei-amaguri-senko-,Chương 133,08/04/2026,1.039,N/A,N/A,N/A,N/A,update
Người Một Nhà,https://mollymax.co.uk/truyen-tranh/nguoi-mot-nha,Chương 124,09/04/2026,48.368,N/A,N/A,N/A,N/A,update
Mẹ Kế Bất Đắc Dĩ,https://mollymax.co.uk/truyen-tranh/me-ke-bat-dac-di,Chương 18.2,09/04/2026,1.401,N/A,N/A,N/A,N/A,update
Muốn Bị Lừa Dối,https://mollymax.co.uk/truyen-tranh/muon-bi-lua-doi,Chương 43,09/04/2026,4.498,N/A,N/A,N/A,N/A,update
Đại Đạo Chi Thượng,https://mollymax.co.uk/truyen-tranh/dai-dao-chi-thuong,Chương 19,09/04/2026,1.164,N/A,N/A,N/A,N/A,update
Đô Thị Cực Phẩm Y Thần,https://mollymax.co.uk/truyen-tranh/do-thi-cuc-pham-y-than,Chương 327,09/04/2026,1.100.503,N/A,N/A,N/A,N/A,update
Cao Võ: Hạ Cánh Đến Một Vạn Năm Sau,https://mollymax.co.uk/truyen-tranh/cao-vo-ha-canh-den-mot-van-nam-sau,Chương 310,09/04/2026,30.787.592,N/A,N/A,N/A,N/A,update
Phổ La Chi Chủ,https://mollymax.co.uk/truyen-tranh/pho-la-chi-chu,Chương 30,09/04/2026,4.127,N/A,N/A,N/A,N/A,update
Các Cô Nàng Gal Luôn Nói Những Điều Phi Thường,https://mollymax.co.uk/truyen-tranh/cac-co-nang-gal-luon-noi-nhung-dieu-phi-thuong,Chương 42,09/04/2026,3.175,N/A,N/A,N/A,N/A,update
Địa Ngục Này Ta Mở Ra Đấy,https://mollymax.co.uk/truyen-tranh/dia-nguc-nay-ta-mo-ra-day,Chương 538,09/04/2026,824.626,N/A,N/A,N/A,N/A,update
Đừng Làm Mùa Xuân Tuổi 15 Phát Khóc,https://mollymax.co.uk/truyen-tranh/dung-lam-mua-xuan-tuoi-15-phat-khoc,Oneshot,09/04/2026,315,N/A,N/A,N/A,N/A,update
Game Đạo Của Liên Minh Xưng Tớ [Iruma Giá Đáo! Spin-Off],https://mollymax.co.uk/truyen-tranh/game-dao-cua-lien-minh-xung-to-iruma-gia-dao-spin-off-,Chương 1,09/04/2026,455,N/A,N/A,N/A,N/A,update
Dục Long: Lân Nghịch Cửu Tiêu,https://mollymax.co.uk/truyen-tranh/duc-long-lan-nghich-cuu-tieu,Chương 18,08/04/2026,738,N/A,N/A,N/A,N/A,update
Linh Cảnh Hành Giả,https://mollymax.co.uk/truyen-tranh/linh-canh-hanh-gia,Chương 55,08/04/2026,47.417,N/A,N/A,N/A,N/A,update
Ngày 9 Tháng 8 Tôi Sẽ Bị Ăn Thịt Bởi Em,https://mollymax.co.uk/truyen-tranh/ngay-9-thang-8-toi-se-bi-an-thit-boi-em,Chương 11,08/04/2026,2.604,N/A,N/A,N/A,N/A,update
Vạn Giới Chi Lâm,https://mollymax.co.uk/truyen-tranh/van-gioi-chi-lam,Chương 42,08/04/2026,1.323,N/A,N/A,N/A,N/A,update
Chuyện Tình Thanh Xuân Bi Hài Của Tôi Quả Nhiên Là Sai Lầm @Comic,https://mollymax.co.uk/truyen-tranh/chuyen-tinh-thanh-xuan-bi-hai-cua-toi-qua-nhien-la-sai-lam-comic,Chương 101.5,08/04/2026,3.849,N/A,N/A,N/A,N/A,update
Bày Tỏ Với Người Nguy Hiểm Như Anh Ấy,https://mollymax.co.uk/truyen-tranh/bay-to-voi-nguoi-nguy-hiem-nhu-anh-ay,Chương 11,08/04/2026,826,N/A,N/A,N/A,N/A,update
Soái Ca Kiểu Mẫu,https://mollymax.co.uk/truyen-tranh/soai-ca-kieu-mau,Chương 25,08/04/2026,632,N/A,N/A,N/A,N/A,update
